text,aspect_words,labels
" Also, I have had alot of trouble with the shift key to go to other lines.",shift key,0
"The computer runs extremely slowly, whether opening Word or My Computer.",runs,0
HOW DOES THE POWER SUPPLY NOT WORK!!!,POWER SUPPLY,0
"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",iTunes,1
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",extended life battery,1
not using wired lan not sure what thats about.,wired lan,1
"The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all.",internet,0
"The touchpad is extremely sensitive, which is the only drawback.",touchpad,0
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,0
"I am not much of a computer techie, so I can understand some ofthe internal problems, though I do have trend micro as an antiviral program.",antiviral program,1
"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",engineering design,2
Product support very poor as each phone call costs me long distan,Product support,0
Right size and weight for portability.,weight,2
It has easy to use features and all the speed and power I could ask for.,features,2
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",software,1
The battery life is also relatively good.,battery life,2
"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",specs,2
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,1
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors,0
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,2
My macbook is so much better looking and so thin!,looking,2
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,0
"While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok.",keyboard,1
I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.,warrenty,0
Another included program that is laughable is the chess game.,included program,0
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,2
The display is beyond horrible.,display,0
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,PORTABILITY,2
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",shutdown,1
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,security-prone OS,1
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",looks,2
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,2
"I edit and burn to DVD a lot of video, so I obviously could not live with a non-functioning drive.",drive,0
"It is well worth the money it cost, Very good investment.",cost,2
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,0
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",size,2
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping,0
The wheel that turns the volume up and down doesn't work in real time.,wheel,0
Disappointing for such a lovely screen and at a reasonable price,screen,2
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keyboard,0
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",boots up,2
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,0
"The PhotoBooth is a great program, it takes very good pictures with the built-in camera.",built-in camera,2
I reinstalled windows through the recovery discs and everything seemed good again.,recovery discs,2
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,0
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,0
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,1
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,iWork,0
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",track pad,2
"Waiting for the i7 was well worth it, great value for the price.",i7,2
"This is an over-sized, 18-inch laptop.",18-inch,0
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,software,0
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",charge,1
